KRS1222;Kreisname;fl_suv;fl_landw;fl_wald;bev_binw;bev_ausw;ko_kasskred;bev_u18;bev_18_65;bev_ue65;bev_ausl;mitgl_sportv;ew_sportv;preis_miet;wohn_eigen;wohn_leer;wohn_EZFH;wohn_MFH;heiz_wohn_best;heiz_wohn;bquali_unifh;bquali_mabschl;bquali_oabschl;erw_wachs;erw_mini;erw_minineben;alq;schulden;sozsich;auto;v_harzt;v_karzt;schule_oabschl;kbetr_u3;kbetr_ue3;kbetr_ue6;kinder_bg;straft;einbr
3251000;Diepholz;12,77;69,75;10,3;87,79;138,99;7,69;17,2;59,91;22,89;10,29;33,68;105,92;7,00 bis unter 8,50;60,4;3,81;3,1;5,5;5,57;51,3;9,21;67,22;12,75;0,92;12,61;9,85;4,36;7,73;7,11;653,2;52,2;40,8;5,31;33,18;89,83;18,29;11,36;5223,14;109,51
3252000;Hameln-Pyrmont;14,65;51,66;31,87;36,78;154,94;273,59;16,66;57,82;25,52;13,05;32,29;152,02;7,00 bis unter 8,50;50,4;5,87;13,7;11,8;6,12;46,35;13,06;67,37;11,98;0,15;9,87;6,42;6,99;9,83;11,52;626,7;64,2;33,4;8,83;31,61;85,95;19,51;18,77;5602,10;72,36
3254000;Hildesheim;15,48;57,91;24,56;48,46;147,32;89,81;16,1;60,17;23,73;10,56;32,31;128,96;7,00 bis unter 8,50;48,4;4,79;13,6;8,4;4,46;46,49;15,69;65,8;12,69;0,27;11,36;6,29;6,87;8,49;9,69;589,9;67,6;45,9;7,07;34,17;89,11;21,66;14,71;6249,21;88,37
3255000;Holzminden;10,68;41,27;46,3;35,96;208,85;550,46;15,72;57,75;26,52;9,97;41,58;231,28;5,50 bis unter 7,00;57,6;8,12;4,4;8,7;9,43;75,27;11,33;70,11;13,04;0,58;10,4;5,72;7,01;10,17;9,48;648,3;69,8;32,3;9,86;30,84;94,47;18,18;15,44;4676,28;76,15
3256000;Nienburg (Weser);11,46;63,1;19,4;77,1;123,76;63,72;17,42;59,68;22,9;10,4;41,84;157,93;7,00 bis unter 8,50;58,0;4,5;19,8;16,2;7,33;37,82;8,65;68,31;14,89;0,74;10,48;6,93;5,94;9,12;9,9;646,2;54,9;33,7;7,95;31,64;90,25;11,28;16,47;5910,80;169,27
3257000;Schaumburg;18,17;53,28;26,15;78,77;113,65;115,65;16,14;58,88;24,98;10,49;33,54;138,16;7,00 bis unter 8,50;55,9;5,33;15,9;4,4;5,90;71,38;9,74;68,86;13,72;0,72;11,52;6,86;5,72;8,81;8,35;652,8;62;45,6;6,31;32,2;89,8;19,11;11,95;5677,04;96,27
3351000;Celle;11,99;36,82;46,47;53,68;123,63;306,55;17,61;58,47;23,92;9,46;33,23;125,28;7,00 bis unter 8,50;57,5;5,51;13,6;3,7;6,67;54,6;12,16;67,41;12,59;0,49;9,88;6,79;5,71;8,54;9,49;620,1;62,6;47,8;6,7;31,89;89,27;13,45;13,35;6396,36;79,12
3352000;Cuxhaven;11,7;71,96;9,51;69,41;99,5;351,85;16,62;57,38;26;7,62;36,23;119,16;7,00 bis unter 8,50;58,9;4,17;33,7;17,1;5,43;38,91;8,37;67,57;13,88;0,86;13,67;9;5,65;8,16;7,61;638,4;58,7;35,8;7,27;33,3;93,14;22,91;11,55;5368,07;78,94
3353000;Harburg;17;50,18;28,34;101,8;101,76;4,96;17,73;59,79;22,49;9,6;33,53;71,79;10,00 bis unter 11,50;58,0;3,03;24,7;38,2;5,85;29,93;11,09;62,62;14,24;1,76;11,78;9,14;4,47;6,08;6,46;654;59,3;41,2;3,96;35,86;91,71;28,99;9,15;5067,78;118,37
3354000;Lüchow-Dannenberg;8,35;50,59;37,85;110,42;135,22;58,97;15,49;55,92;28,59;7,62;30,14;130,14;5,50 bis unter 7,00;59,4;5,62;27;6,3;16,00;70,12;10,43;71,18;9,47;0,37;11,13;6,63;7,78;9,45;9,13;646,1;65,1;48,4;10,32;34,73;86,31;20,23;12,25;5522,79;85,40
3355000;Lüneburg;11,8;50,77;33,57;54,28;114,1;309,46;17,18;61,92;20,9;8,21;23,35;82,11;10,00 bis unter 11,50;48,7;3,41;22,2;17,8;6,07;45,47;16,69;63,72;13,14;1,05;10,71;6,82;5,84;6,97;8,33;572,2;63,7;52,4;6,06;40,77;94,43;21,24;11,97;7540,84;106,64
3356000;Osterholz;15,63;64,84;13,86;84,17;103,9;271,18;17,34;58,73;23,93;7,46;37,14;114,97;8,50 bis unter 10,00;65,8;3,34;18;10,2;4,37;32,92;10,32;67,54;13,18;0,69;13,34;10,22;3,45;6,23;5,79;643,8;60,5;47,2;6,22;34,6;91,69;16,15;8,03;4176,71;123,55
3357000;Rotenburg (Wümme);11,17;65,99;17,62;94,87;104,65;0;17,2;60,82;21,98;8,46;46,62;160,5;7,00 bis unter 8,50;60,2;3,67;25,7;18,9;6,91;42,94;9,27;69,67;13,57;0,47;11,6;8,71;3,77;7,23;6,1;717;56,1;45,2;6,91;31,19;89,72;13,9;8;6211,67;128,28
3358000;Heidekreis;10,72;39,24;41,95;-724,03;961,59;0;17,3;60,08;22,63;12,02;34,09;127,93;7,00 bis unter 8,50;53,9;4,19;23,6;14,8;7,24;38,71;8,32;70,08;13,79;0,57;11,05;7,48;6,33;8,84;8,55;635,2;56,9;45,5;7,06;29,46;84,62;15,1;11,96;7901,98;145,81
3359000;Stade;12,76;69,83;7,42;70,18;138,51;0;18,12;59,97;21,9;10,96;30,52;71,32;8,50 bis unter 10,00;53,6;3,07;20,3;32,7;5,50;34,59;11,42;66,19;12,98;0,68;12,89;8,2;5,94;7,42;8,78;611,8;54,9;42,3;7,65;32,01;89,33;19,1;14,39;5354,10;68,00
3360000;Uelzen;8,91;52,5;36,37;74,61;161,19;6,25;15,66;58,43;25,91;8,11;31,84;152,6;7,00 bis unter 8,50;53,8;5,05;19,1;18,7;8,56;66,01;10,9;69,16;12,17;0,45;9,7;6,47;5,34;9,52;8,33;616;65,4;45,2;7,89;34,01;90,36;19,23;12,91;6642,50;63,58
